userWallet,predicted_score,category
0x00000000001accfa9cef68cf5371a23025b6d4b6,387.0756477165164, Risky
0x000000000051d07a4fb3bd10121a343d85818da6,395.8457245085205, Risky
0x000000000096026fb41fc39f9875d164bd82e2dc,413.20779650706237, Medium
0x0000000000e189dd664b9ab08a33c4839953852c,429.70788626477685, Medium
0x0000000002032370b971dabd36d72f3e5a7bf1ee,58.34856219346732, Risky
0x000000000a38444e0a6e37d3b630d7e855a7cb13,396.9163253266454, Risky
0x000000003853fcedcd0355fec98ca3192833f00b,433.02868979093984, Medium
0x000000003ce0cf2c037493b1dc087204bd7f713e,58.00492117817528, Risky
0x000000007858e6f2668e1e06111cfa24403a5466,390.04021210272987, Risky
0x00000001a0f57e850c9db68b4a9bc34677437c5c,411.07252561184606, Medium
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,541.2999296096367, Medium
0x00000029ff545c86524ade7caf132527707948c4,494.2470502040596, Medium
0x00000087c4cebffb95746d1935de7fbcab092f40,229.74287801041, Risky
0x000000e28faa823d5b53ff6c2922c28335840375,412.27353860786155, Medium
0x000006eee6e39015cb523aebdd4d0b1855aba682,501.95335313785887, Medium
0x00000a9c78912badb92d73b6ed26456e11def5eb,367.799115922452, Risky
0x00001bc47f0973f794f79c16121cee879e272d6a,381.26988976751267, Risky
0x00002b503a75998c97508916a74fdb41934fa030,330.56424110354453, Risky
0x0000897253cc85f7547317eb2080b36b3255687a,388.0915913137563, Risky
0x0000b252c943089fbba5554a1d196ef79bc77e4f,388.3854130321704, Risky
0x0000ce08fa224696a819877070bf378e8b131acf,990.5406167060271,Good
0x00010a708585ba4812a1c5976182626c75cb7a6b,452.4363717611135, Medium
0x00016fc0c9f7620e920e1423fd455f9574f48025,401.3747813189338, Medium
0x0002761e848b24046a53d494847b11a3e1d36b09,356.49408054867473, Risky
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,386.8361336138937, Risky
0x0003816b25fd3d6c112eb65c089760fa3f791947,480.55703869199516, Medium
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,25.906252493311047, Risky
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,408.7086893926789, Medium
0x0003f46779806fe779e7f30eec95dbdb4d45840b,467.0303581196178, Medium
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,523.8450773112648, Medium
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,6.13217739100075, Risky
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,569.9798852968507, Medium
0x0005696d4be2359526c497fe4a4c0620b41f2426,409.1698665228505, Medium
0x000660cad76200a2e326f53e033919905e6c50f5,404.30905210576117, Medium
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,418.2529138295477, Medium
0x00080000158a9930aeb508823103b0a977161c47,371.90718242383514, Risky
0x00099b1263c22ae2ce0a52624cef2a012e751970,403.5651966147055, Medium
0x0009ce45d5df78e632a0b4987079432dfba2253a,359.1353083457423, Risky
0x000a27ba176083e4b50177378cbe7469a00dd557,487.70060164076904, Medium
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,8.413366784419265, Risky
0x000ab43e658935ba39504a1424b01756c1e9644c,44.29817014191471, Risky
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,411.9063976613296, Medium
0x000c8e2871750f458bf1de8ab528dda09bc95db6,477.27447268527317, Medium
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,381.66884889303424, Risky
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,411.6307820397911, Medium
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,425.33061770738306, Medium
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,383.0491075385394, Risky
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,254.31214312561085, Risky
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,401.43132973113666, Medium
0x000e840a3122ec28d0c29321db172375cb049762,371.76798542921506, Risky
0x000e9bd1d42999446d60ff60f1fb3afb13604202,410.6362582615942, Medium
0x000eab293e332bd6e67018a9150e8807bfac3233,413.37232306002545, Medium
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,404.1928173213652, Medium
0x000f4432a40560bbff1b581a8b7aded8dab80026,413.7274447632159, Medium
0x000f7f22bfc28d940d4b68e13213ab17cf107790,579.6304360379742, Medium
0x000f908720f9ce164d90f4fc89459fab4442907f,513.7205587042456, Medium
0x000fbfec300959d0f2f327728a889c1f5de8e2df,435.1397987907296, Medium
0x0011730224657eb527cf736039854c3a3f140e63,480.1844325635079, Medium
0x00120ea6fdbaf057eadc1bd149f957488444e92c,411.64374775675805, Medium
